finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Gliosis,451,0.7640633982097397,0.5861236300878582,uniform,0,budget,all4,1,1
Cerebral atrophy,213,0.9473279550722054,0.7599812618408937,uniform,0,budget,all4,1,1
Encephalomalacia,25,0.8569972451790634,0.28619903166092886,uniform,0,budget,all4,1,1
Arachnoid cyst,69,0.684957592226614,0.1084750027803881,uniform,0,budget,all4,1,1
Empty sella syndrome,82,0.6987324066789055,0.13646872163911208,uniform,0,budget,all4,1,1
Cerebral edema,23,0.7715746665869266,0.11129073044263336,uniform,0,budget,all4,1,1
Mastoiditis,23,0.6443095508641828,0.0325212519944927,uniform,0,budget,all4,1,1
Chronic mastoiditis,37,0.7403528528528528,0.06070695536002462,uniform,0,budget,all4,1,1
Ventriculomegaly,131,0.8698263443848326,0.4488532300428454,uniform,0,budget,all4,1,1
Cerebellar degeneration,43,0.9009438552106647,0.2819933364004727,uniform,0,budget,all4,1,1
Mega cisterna magna,23,0.7843131391663177,0.05269019254154925,uniform,0,budget,all4,1,1
Structure of cave of septum pellucidum,22,0.5905342080599812,0.048692991158002456,uniform,0,budget,all4,1,1
Cerebral infarction,42,0.9112493777999005,0.314558589519671,uniform,0,budget,all4,2,2
Demyelinating disease of central nervous system,21,0.7604984301412873,0.09884873480448715,uniform,0,budget,all4,2,2
Lacunar infarct,21,0.9097985347985348,0.18161704858172847,uniform,0,budget,all4,2,2
Gliosis,451,0.7716877806736601,0.5933640722276936,uniform,0,budget,all4,2,2
Cerebral atrophy,213,0.9506262257086825,0.7663426615848731,uniform,0,budget,all4,2,2
Encephalomalacia,25,0.8803581267217631,0.16113107803209398,uniform,0,budget,all4,2,2
Arachnoid cyst,69,0.7078598484848485,0.12292715300727763,uniform,0,budget,all4,2,2
Empty sella syndrome,82,0.7028411574438326,0.15847991393028418,uniform,0,budget,all4,2,2
Cerebral edema,23,0.8169068835595956,0.17163433811998483,uniform,0,budget,all4,2,2
Mastoiditis,23,0.6646133604449495,0.05113254431024211,uniform,0,budget,all4,2,2
Chronic mastoiditis,37,0.7500938438438438,0.06237524966328252,uniform,0,budget,all4,2,2
Ventriculomegaly,131,0.8786282227238184,0.4767919377910893,uniform,0,budget,all4,2,2
Cerebellar degeneration,43,0.8913431286691966,0.322667272932618,uniform,0,budget,all4,2,2
